"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"159",38,3,6,10,0.0152689907917133,0.0163167233883604,0.0158233375033455,0.0162393829555996,0.0164009794746935
"160",38,3,6,30,0.015247979759096,0.015864674762132,0.0159016494074371,0.0165287748504877,0.0169237563821504
"161",38,3,6,50,0.0174197288551362,0.015826267123443,0.015660370880573,0.0155637547972735,0.0154230969351339
"162",38,3,6,70,0.0146289399328939,0.0156878666149638,0.0155781315115648,0.0149568550081349,0.0148523785282956
"163",38,3,6,90,0.0146124052852771,0.0149156658928759,0.0155625876684393,0.0167206791432011,0.0156185231190955
"164",22,1,4,5,0.0383464669551327,0.0246689055488856,0.0383471318476983,0.0247048073485392,0.0383464556273744
"165",22,1,4,10,0.024546010042579,0.0383499183800642,0.0383461656579091,0.0259662490237287,0.0243618649764866
"166",22,1,4,30,0.0247145483466621,0.0245209679554405,0.0263245840935155,0.0245827486475455,0.0258236458293558
"167",22,1,4,50,0.0248280113793022,0.025072402269569,0.0250769386023107,0.0253286408465481,0.0251084255160019
"168",22,1,4,70,0.0259809246893893,0.025213132802,0.025145029297181,0.0248195331259393,0.0248524685192574
"169",22,1,4,90,0.0253537110872471,0.0244390818515089,0.0243156029811788,0.0246218909845775,0.024668679878432
"170",12,5,2,5,0.049304510809958,0.02943150484591,0.049304510809958,0.0298123286295491,0.049304510809958
"171",12,5,2,10,0.0290283687935068,0.0283517741778316,0.0282344934114055,0.0282487268318518,0.0493363538989659
"172",12,5,2,30,0.0293769702992284,0.0302864928128553,0.0286108274038812,0.0294436238198145,0.0297146382119278
"173",12,5,2,50,0.0289393708391187,0.0290812619180862,0.029453756146,0.0295145411635807,0.0292013407086691
"174",12,5,2,70,0.0295910135757437,0.0290825286580674,0.0288115312051001,0.0292183916972006,0.0289794855671945
"175",12,5,2,90,0.0277140080379987,0.0282825340694914,0.0280256814446532,0.0285210326308345,0.0279780130551422
"176",2,2,1,5,0.0629372487890642,0.0485142095483441,0.0629373143955624,0.0464109779473561,0.062937300616098
"177",2,2,1,10,0.0426022086436123,0.0429301407227151,0.0629374235421354,0.0462748713748279,0.0431501228893045
"178",2,2,1,30,0.0450055571760604,0.0435905904209001,0.04547376440078,0.0443395740468146,0.0446597597723814
"179",2,2,1,50,0.0406869387513599,0.0442677904299399,0.0440410970937589,0.043056712588971,0.0442408785128285
"180",2,2,1,70,0.0427014592820334,0.0430148267398253,0.0439482674424882,0.0442391557259859,0.0431046221599098
"181",2,2,1,90,0.0438547593851239,0.0417314348601174,0.0426061309013479,0.0443522880850357,0.0442146279593709
"182",40,5,6,5,0.0145357229297576,0.0142404882915434,0.0316657579049275,0.0161322085867391,0.0316733943384406
"183",40,5,6,10,0.0141957269350052,0.0155319085294783,0.0156180819951968,0.0144536151723872,0.0139381617662791
"184",40,5,6,30,0.0145035465526386,0.0147361084418175,0.0143219321014599,0.0136640636345329,0.014399788760901
"185",40,5,6,50,0.0137907563989821,0.0316735431894874,0.0141362321896942,0.0145793943410657,0.0141091514352058
"186",40,5,6,70,0.0148627529895106,0.0141595778458872,0.0141702775657242,0.0139569993161156,0.0142409227385565
"187",40,5,6,90,0.0143632653357193,0.0140994795143914,0.0140260686616925,0.0140117585161578,0.014220526382153
"188",24,3,4,5,0.038300634373356,0.038301328306779,0.0239826942930853,0.023984952608459,0.0234278833541747
"189",24,3,4,10,0.022704639485877,0.0258291595131681,0.0382996088524569,0.0287589665322117,0.0239826663284239
"190",24,3,4,30,0.0259657915351297,0.0269915441760621,0.0284289288697128,0.027240792031813,0.0263272454106029
"191",24,3,4,50,0.0260653890755214,0.0274276436774673,0.0247842440399474,0.0252461113552619,0.0275110812372057
"192",24,3,4,70,0.026438899315179,0.0280415064624505,0.025638703282154,0.0268514033502098,0.025149549446936
"193",24,3,4,90,0.0266791542366493,0.0273451634402085,0.0231171514654889,0.024254268564095,0.0263405818056988
"194",29,1,5,5,0.0179868249230297,0.0171318649776212,0.0170574738596372,0.0506793804189558,0.0180643034861449
"195",29,1,5,10,0.0506701357190221,0.0180027684073483,0.016728612653178,0.0506799763087386,0.0169277898335825
"196",29,1,5,30,0.0167137667881328,0.017566918669166,0.0194697395748907,0.0166175328598721,0.0180181893620751
"197",29,1,5,50,0.0195270499780304,0.017136935599471,0.0172550894022627,0.0193773372846716,0.0189590705907052
"198",29,1,5,70,0.0185900632694713,0.0191276002673064,0.0193587811069623,0.0188727228681855,0.0192800583599381
"199",29,1,5,90,0.0167730522985534,0.0185539237088743,0.0199196655018139,0.0164600280770523,0.0201721082717014
"200",13,6,2,5,0.0526155058834659,0.0301370456149667,0.0526153781823826,0.0526148268740881,0.0285838985245212
"201",13,6,2,10,0.0526154017879397,0.0287762442041181,0.0526153737613372,0.027877155599835,0.052615396855314
"202",13,6,2,30,0.0278382913559597,0.0282858097751121,0.027438103507232,0.0277446635504609,0.0278894466135324
"203",13,6,2,50,0.028521049402969,0.0281975590757689,0.0276903804625508,0.0279564478004051,0.0271034986505771
"204",13,6,2,70,0.0280224287526195,0.028126519734213,0.0279428050816849,0.0276869862999,0.0281020183435018
"205",13,6,2,90,0.0284096875188483,0.0268803525600961,0.0285368988035657,0.0275689456324025,0.0278115341844362
"206",36,1,6,5,0.0436006351139072,0.0188004270580447,0.0436001559232684,0.0436004215781174,0.0436005510534821
"207",36,1,6,10,0.0193197662633547,0.0435973719317282,0.0194223859321364,0.0184446939771156,0.01898625690979
"208",36,1,6,30,0.0182232323762084,0.0195279344463949,0.0185617371289677,0.0187153235335721,0.0188913050045082
"209",36,1,6,50,0.0186687876921876,0.0198808489576712,0.0181788886596731,0.0190099569906011,0.0195252965423001
"210",36,1,6,70,0.0193139232357576,0.0196514836509272,0.0190029912666252,0.018800358837791,0.0185526102509769
"211",36,1,6,90,0.0184931663758407,0.0185356959358137,0.0189876915069181,0.0185852697218944,0.0200396445374176
